Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
G 364 M 	Havdhems kyrka	Havdhems sn	Grötlinge ting	Gotland	I korgolvet bakom altaret.	6340195.1652340			0933 (Havdhem), 43:1 [objektid=10093300430001]			M	?		sten	kalksten	gravhäll	Hårt trampsliten, endast huvudstavar till ca 35 tecken kan skönjas.			
G 365  	Havdhems kyrka	Havdhems sn	Grötlinge ting	Gotland	Kalmar läns museum (KLM 1392)	6340192.1652342			0933 (Havdhem)			?			metall		djurhuvudformat spänne				
G 366 M 	Antarve	Havdhems sn	Grötlinge ting	Gotland	SHM (5507)	6339050.1654400			0933 (Havdhem)			M			metall	brons	nyckelbeslag			Fv 1982:233f, http://fornvannen.se/pdf/1980talet/1982_233.pdf	
G 367 M 	Eke kyrka	Eke sn	Hemse ting	Gotland	I korportalens östra inre omfattning.	6340930.1655692			0908 (Eke)			M efter 1200			sten		ristning i sten med kniv			Fv 1974:208, http://fornvannen.se/pdf/1970talet/1974_208.pdf	
G 368  	Gudings gård	Alva sn	Hemse ting	Gotland	Gotlands museum (C11286)	6344865.1654150			0895 (Alva), 53 [objektid=10089500530001]			V 1000-1150	?		sten	kalksten	fragment av runsten i bildstenform			Fv 1980:231ff, http://fornvannen.se/pdf/1980talet/1980_229.pdf	
G 369 M 	Rone kyrka	Rone sn	Hemse ting	Gotland	Norra väggen i tornets andra våning.	6345633.1659280	ja		0959 (Rone)			M 1400-t?			puts	kalkputs	putsinskrift			Snædal 2002:161	
G 370 $ 	Hablingbo kyrka	Hablingbo sn	Hablinge ting	Gotland		6342784.1648565			0928 (Hablingbo), 167 [objektid=12000000058551], 56 [objektid=10092800560001]		A1; B2; C1; D1; E5, E6, E8; F3; 0	V 1000-t	Pr3		sten	kalksten	runsten i bildstensform			$=NRL art. HallgæiRR; Snædal 2002:68ff; Fv 1990:23ff, http://fornvannen.se/pdf/1990talet/1990_023.pdf	
G 371 M 	Hablingbo kyrka	Hablingbo sn	Hablinge ting	Gotland	Tornrummets sydvägg.	6342816.1648577	ja		0928 (Hablingbo), 56:2 [objektid=10092800560002]			M efter ca 1200, trol. 1400-t (A)			puts	kalkputs	putsinskrifter			Fv 1971:202f, http://fornvannen.se/pdf/1970talet/1971_202.pdf; Snædal 2002:162	
G 372 M 	Hablingbo kyrka	Hablingbo sn	Hablinge ting	Gotland	Tornbågens södra vederlagsmur.	6342815.1648584	ja		0928 (Hablingbo)			M efter ca 1200			puts	kalkputs	putsinskrifter			Fv 1971:202f, http://fornvannen.se/pdf/1970talet/1971_202.pdf	
G 373  	Sproge kyrka	Sproge sn	Hablinge ting	Gotland		6350090.1645178			0964 (Sproge), 65:4 [objektid=10096400650004]			V 1000-t	Pr1 - Pr2?		sten	kalksten med runinskrift	runsten i bildstensform	Påträffad i absiden vid restaurering 1965. Använd som piscina.		Fv 1966:105f, http://fornvannen.se/pdf/1960talet/1966_102.pdf; Snædal 2002:70	
G 374 M 	Sproge kyrka	Sproge sn	Hablinge ting	Gotland	Tornkammarens södra vägg.	6350091.1645187	ja		0964 (Sproge)			M			puts	kalkputs	putsinskrifter				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G374&showthumbnails=true
G 375 M 	Levide kyrka	Levide sn	Fardhems ting	Gotland	altaret	6353385.1648424			0945 (Levide)			M			sten		sten använd till altarsidans framsida				
G 376 M 	Gerums kyrka	Gerums sn	Fardhems ting	Gotland	På norra korväggen.	6354899.1652180	ja		0924 (Gerum)			M			puts	kalkputs	putsinskrift	Ristningen är överkalkad och svår att följa, har bestått av ett 15-tal runor.			http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G376&showthumbnails=true
G 377 M 	Lojsta kyrka	Lojsta sn	Fardhems ting	Gotland	På sydväggen öster om långhusportalen.	6357061.1655374	ja		0947 (Lojsta)			M			puts	kalkputs	putsinskrift				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G377&showthumbnails=true
G 378 M 	Burs kyrka	Burs sn	Burs ting	Gotland	I sakristian.	6349875.1663196			0904 (Burs)			M			sten	kalksten	fragment av gravhäll				
G 379 SENTIDA 	Närs kyrka	Närs sn	Burs ting	Gotland	I korgolvet nära norra muren, täckt av trägolv.	6351461.1670163			0955 (När)			Sentida 1700-t			sten		gravhäll	"Latininskrift som enligt äldre uppteckning lyder: abi uiator / et fac oss nostRa in pace rekviescant, dvs ""Gå bort, vandrare, och låt våra ben vila i frid."""		Fv 1989:28f, http://fornvannen.se/pdf/1980talet/1989_028.pdf	
G 380 †M 	Närs kyrka	Närs sn	Burs ting	Gotland		6351461.1670163			0955 (När)			M					vägginskrift	Andra radens början kan eventuellt tolkas ”skrev utmed denna...”.			
G 381 M 	Närs kyrka	Närs sn	Burs ting	Gotland	På västra portalens vänstra sida.	6351461.1670163			0955 (När)			M 1300-t			sten		inskrift på stenvägg			NOR 1995 s. 18, http://urn.nb.no/URN:NBN:no-44955; Snædal 2002:141	
G 382 M 	Närs kyrka	Närs sn	Burs ting	Gotland	Sydöstra stigluckans västra innervägg.	6351461.1670163	ja		0955 (När)			M			puts	kalkputs	putsinskrift			NOR 1995 s. 18, http://urn.nb.no/URN:NBN:no-44955	
G 383 M 	Lau kyrka	Lau sn	Burs ting	Gotland	Framför altaret.	6354296.1669738			0944 (Lau), 120:2 [objektid=10094401200002]			M troligen 1400-t			sten	kalksten 	gravhäll med sekundär runinskrift			Snædal 2002:161	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G383&showthumbnails=true
G 384 M 	Lau kyrka	Lau sn	Burs ting	Gotland	På tornbågsmuren.	6354296.1669738	ja		0944 (Lau), 120:1 [objektid=10094401200001]			M			puts	kalkputs	målad inskrift				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G384&showthumbnails=true
G 385 M 	Anga kyrka	Anga sn	Kräklinge ting	Gotland	I en brädfordrad nisch i nordvästra hörnet av koret.	6376496.1674007			0896 (Anga)			M efter m 1200-t			trä	trä	ristning i trä	På nischens övre kant finns ett antal streck och runliknande ristningar. Läses från höger till vänster.			
G 386 M 	Viklau kyrka	Viklau sn	Kräklinge ting	Gotland	Uppgången till tornet.	6374229.1659082	ja		0975 (Viklau)			M			puts	kalkputs	putsinskrift?	Ristningen ännu ej granskad av Runverket.			
G 387  	Dalbo	Halla sn	Halla ting	Gotland	Gotlands museum (C 10640)	6379900.1662500			0930 (Halla)			V 1000-1050 (Imer 2007)			metall		dosformigt spänne			Fv 1984:253, http://fornvannen.se/pdf/1980talet/1984_250.pdf	
G 388  	Västerbjärs	Gothems sn	Lina ting	Gotland	SHM (18494)	6388400.1673750			0925 (Gothem)			V 1000-t			metall	brons	spännbuckla i form av djurhuvud			Fv 1986:75, http://fornvannen.se/pdf/1980talet/1986_073.pdf	
G 389  	Bottarve (1:17)	Fröjels sn	Hejde ting	Gotland	Gotlands museum	6359298.1643315			0919 (Fröjel), 188 (grav- och boplatsområde) [objektid=11000000000862]			V 900-t			metall	brons	spännbuckla i form av djurhuvud	Påträffad i grav 9/89.			
G 390  	Tyrvalds	Klinte sn	Hejde ting	Gotland	SHM (13208)	6366130.1647900			0941 (Klinte)			V 1000-t			metall		dosformigt spänne			Fv 1986:80ff, http://fornvannen.se/pdf/1980talet/1986_080.pdf; Snædal 2002:85f	
G 391 M 	Hogräns kyrka	Hogräns sn	Stenkumla ting	Gotland	Gotlands museum (10033:34)	6378241.1649996			0939 (Hogrän)			M			metall	brons	lock till oblatask(?)				
G 392  	Visby, kv. Apoteket 4	Visby		Gotland	Gotlands museum	6393405.1648610			0976 (Visby)			V ca 1100			ben/horn	ko eller häst	skulderblad				
G 393  	Bottarve (1:17)	Fröjels sn	Hejde ting	Gotland	Gotlands museum	6359375.1643275			0919 (Fröjel)			V 1000-t (arkeologisk datering)			ben/horn	ben	runben, revben				
G 394 M 	Ekeby kyrka	Ekeby sn	Endre ting	Gotland	I långhusets sv vägg.	6388792.1662000	ja		0909 (Ekeby)			M			puts	kalkputs	putsinskrift				
G 395 M 	Hellvi kyrka	Hellvi sn	Forsa ting	Gotland	På östra korvägen.	6409781.1683832	ja		0937 (Hellvi)			M m 1200-t			puts	kalkputs	målade runor	Upptäckt 2008. En parallellinskrift till G 291.			
G ATA351-3693-2013  	Stenkyrka kyrka	Stenkyrka sn	Lummelunda ting	Gotland		6410885.1662116			0966 (Stenkyrka)			V			sten	kalksten	bildsten med runor	Funnen 2007.		http://kulturarvsdata.se/raa/samla/html/6111	
G ATA351-590-2014 M 	Sanda kyrka	Sanda sn	Banda ting	Gotland	På norra väggen i sakristian.	6369671.1645235	ja		0961 (Sanda)			M			puts	kalkputs	putsinskrift	Upptäckt 1956.		http://kulturarvsdata.se/raa/samla/html/6632	
G ATA351-591-2014AB M 	Ala kyrka	Ala sn	Kräklinge ting	Gotland	I tornkammaren, södra väggen.	6369484.1670015	ja		0893 (Ala)			M			puts	kalkputs	putsinskrift			http://kulturarvsdata.se/raa/samla/html/6633	
G ATA351-591-2014C M 	Ala kyrka	Ala sn	Kräklinge ting	Gotland	I tornkammaren, västra väggen.	6369484.1670015	ja		0893 (Ala)			M			puts	kalkputs	putsinskrift			http://kulturarvsdata.se/raa/samla/html/6633	
G ATA351-591-2014DE M 	Ala kyrka	Ala sn	Kräklinge ting	Gotland	I tornkammaren, norra väggen.	6369484.1670015	ja		0893 (Ala)			M			puts	kalkputs	putsinskrift			http://kulturarvsdata.se/raa/samla/html/6633	
G ATA351-1599-2014 M 	Halls kyrka	Halls sn	Forsa ting	Gotland	I korets norra innervägg.	6422345.1672606	ja		0929 (Hall)			M			puts	kalkputs	putsinskrift	Upptäckt 2010. Första runan kan möjligen läsas o.		http://kulturarvsdata.se/raa/samla/html/6814	
G ATA351-1661-2014 M 	Mästerby kyrka	Mästerby sn	Banda ting	Gotland	På korets norra vägg.	6374371.1649921	ja		0953 (Mästerby)			M			puts	kalkputs	putsinskrift	Upptäckt 2010.		http://kulturarvsdata.se/raa/samla/html/6816	
G Byggnadsh2011-12;83 M 	Hejnums kyrka	Hejnums sn	Bäls ting	Gotland	Bakom skranket till predikstolen.	6398541.1668612	ja		0936 (Hejnum)			M			puts	kalkputs	putsinskrift	Inskriften finns med som G 247d i manuskript till Gotlands runinskrifter 3 av Thorgunn Snædal. Där beskrivs även fler putsinskrifter från kyrkan.		Källström 2013b	
G IK365,8 U 	Broe	Halla sn	Halla ting	Gotland	Gotlands museum(?)	6377787.1660247			0930 (Halla), 46 [objektid=10093000460001]			U			metall	guld	brakteat (C-typ)	Funnen 1981. Slagen med samma stämpel som SE IK365,1, G 45, G 143, DR IK365,4, G 287, G 89, SE IK365,7. Endast de nedersta delarna av runorna är bevarade.		IK 365,8, RGA-E 40:912f; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/literatur2_eng.asp?findno=404&ort=Broe&Objekt=brakteat (C-typ)>	
SE Fv1988;247  	?	?	?, Sverige	?	SHM (10683)							?			sten	mörk grönsten	skafthålsyxa	Tidigare signum: X SvFv1988;247	X SvFv1988;247	http://fornvannen.se/pdf/1980talet/1988_234.pdf	
SE IK365,1 U 	?	?	?, Sverige	?	Museum Gustavianum (UUMF2302)							U			metall	guld	brakteat (C-typ)	Okänd fyndort. Slagen med samma stämpel som G 45, G 143, DR IK365,4, G 287, G 89, SE IK365,7, G IK365,8. Tidigare del av signum: X SvIK365,1,7	X SvIK365,1,7	http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042599_00217.html; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=350&ort=?&objekt=brakteat (C-typ)>, <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=355&ort=?&objekt=brakteat (C-typ)>	http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042598_00161.html
SE IK365,7 U 	?	?	?, Sverige	?	Museum Gustavianum (UUMF2303)							U			metall	guld	brakteat (C-typ)	Okänd fyndort. Slagen med samma stämpel som SE IK365,1, G 45, G 143, DR IK365,4, G 287, G 89, G IK365,8. Tidigare del av signum: X SvIK365,1,7	X SvIK365,1,7	http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042599_00217.html; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=350&ort=?&objekt=brakteat (C-typ)>, <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=355&ort=?&objekt=brakteat (C-typ)>	http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042598_00162.html
SE Owe1996b;136  	?	?	?, Sverige	?	Runverket, Raä, Stockholm							V			sten		fragment av runsten	Tidigare signum: X SvOwe1996b:136	X SvOwe1996b:136		
SE SHMFid45487  	?	?	?, Sverige	?	SHM							V?			sten		fragment av runlös sten			http://mis.historiska.se/mis/sok/fid.asp?fid=45487 (nr 2)	
DR 1  	Haddeby 1, Wedelspang	Selk	Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Selk	Museum vorgesch. Altertümer i Kiel							V efter-Jelling	RAK		sten	röd granit	runsten		L 1548	DK nr.: Sl 1, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-sten_1	
DR 2  	Haddeby 2 (Vedelspang 1), Wedelspang	Selk	Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Selk	Museum vorgesch. Altertümer i Kiel							V Jelling, efter år 934	RAK		sten	granit	runsten	Man har tidigare ansett ristningen vara svensk, men den kan mycket väl vara lokalt skapad (Lerche Nielsen 2001:133 ff.).	L 1549	DK nr.: Sl 2, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-sten_2	
DR 3  	Haddeby 3 (Dannevirke/Busdorf), Busdorf	Busdorf	Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Busdorf								V efter-Jelling	RAK		sten	granit	runsten			DK nr.: Sl 3, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-sten_3	
DR 4  	Haddeby 4, Schloss Gottorf	Stadt Schleswig	Stadt Schleswig (Schleswig-Holstein, Sydslesvig)	Schleswig	Museum vorgesch. Altertümer i Kiel							V Jelling, efter år 934	RAK		sten	granit	runsten			DK nr.: Sl 4, http://runer.ku.dk/VisGenstand.aspx?Titel=Haddeby-sten_4	
DR 5 †M 	Slesvig	Stadt Schleswig	Stadt Schleswig (Schleswig-Holstein, Sydslesvig)	Schleswig								M			metall	järn	dörr med beslag			DK nr.: SlB 2, http://runer.ku.dk/VisGenstand.aspx?Titel=Slesvig-d%c3%b8rbeslag	
DR 6  	Slesvig	Stadt Schleswig	Stadt Schleswig (Schleswig-Holstein, Sydslesvig)	Schleswig	Slesvigs domkyrka							V kristen efter-Jelling	?		sten	kalksten	runsten	"Man har tidigare ansett ristningen vara svensk, men den kan mycket väl vara lokalt skapad (Lerche Nielsen 2001:133 ff.). Källström (2007a:334) föreslår att slutet även kan tolkas ""som vilar i England i Skia""."		DK nr.: SlB 1, http://runer.ku.dk/VisGenstand.aspx?Titel=Slesvig-sten	
DR 7 $U 	Torsbjerg, Thorsberg	Süderbrarup	Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Süderbrarup	Flensburg Stadtmuseum (5767)							U 210/220-250/260 (Imer 2007)			metall	brons	doppsko			$=Stoklund 1995:327; KJ 20; DK nr.: Sl 11, http://runer.ku.dk/VisGenstand.aspx?Titel=Torsbjerg-dupsko; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=14&ort=Torsbjerg, Thorsberg&objekt=doppsko>	
DR 8 $U 	Torsbjerg, Thorsberg	Süderbrarup	Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Süderbrarup	Flensburg Stadtmuseum (3262)							U 210/220-250/260 (Imer 2007)			metall	brons	sköldbuckla			$=Imer 2007:134f; Stoklund 1995:326; KJ 21; DK nr.: Sl 12, http://runer.ku.dk/VisGenstand.aspx?Titel=Torsbjerg-skjoldbule; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=15&ort=Torsbjerg, Thorsberg&objekt=sköldbuckla>	
DR 9 † 	Nørre Brarup (Arrild)	Norderbrarup	Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)	Norderbrarup								V Helnæs-Gørlev			sten	granit	runsten			DK nr.: Sl 13, http://runer.ku.dk/VisGenstand.aspx?Titel=N%c3%b8rre_Brarup-sten	
DR 10 U? 	Frøslev	Bov sn 	Lundtoft hd, Sønderjylland	Aabenraa	Museum vorgesch. Altertümer i Kiel (F. S. 6976)				220102			U? osäker datering			trä	trä	pinne			KJ 36; DK nr.: Sl 14, http://runer.ku.dk/VisGenstand.aspx?Titel=Fr%c3%b8slev-pind; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=57&ort=Frøslev&objekt=pinne>	
DR 11 †U 	Gallehus	Møgeltønder sn	Lø hd, Sønderjylland	Tønder		(54.9586733355867; 8.81251799844678)			210502-4 [Lokalitet/84878]			U 400-450			metall	guld	horn	Samma ornamentik som DR 12.		KJ 43; DK nr.: SJy 59, http://runer.ku.dk/VisGenstand.aspx?Titel=Gallehus-horn_1	
DR 12 †U 	Gallehus	Møgeltønder sn	Lø hd, Sønderjylland	Tønder		(54.9586733355867; 8.81251799844678)			210502-4 [Lokalitet/84878]			U 375/400-460/470 (Imer 2007)			metall	guld	horn	Gallehushornet	L 1892	KJ 43; DK nr.: SJy 60, http://runer.ku.dk/VisGenstand.aspx?Titel=Gallehus-horn_2; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=28&ort=Gallehus&objekt=horn>	
DR 13 †U 	Nydam, Nydam engmose	Sottrup sn	Nybøl hd, Sønderjylland	Sønderborg	Museum vorgesch. Altertümer i Kiel	(54.9603868861657 ; 9.72682690129138)			230304-30 [Lokalitet/87711]			U 310/320-375/400 (Imer 2007)			trä	trä	pil	Gick förlorat under andra världskriget.		KJ 19; DK nr.: SJy 64, http://runer.ku.dk/VisGenstand.aspx?Titel=Nydam-pileskaft_1; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=13&ort=Nydam, Nydam engmose&objekt=pil>	
DR 14 M 	Bjolderup	Bjolderup sn	Rise hd, Sønderjylland	Aabenraa	Museum vorgesch. Altertümer i Kiel				220201-87 [Lokalitet/118763]			M ca 1200			sten	granit	runsten		L 1841	DK nr.: SJy 61, http://runer.ku.dk/VisGenstand.aspx?Titel=Bjolderup-gravsten	
DR 15  	Øster Løgum	Øster Løgum sn	Sønder Rangstrup hd, Sønderjylland	Aabenraa	3 km söder Immervads bro.	(55.1402239992017 ; 9.34452011770081)	ja		220304-90 [Lokalitet/86273]			V för-Jelling	RAK		sten	granit	runsten		L 1539	DK nr.: SJy 62, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%98ster_L%c3%b8gum-sten	
DR 16 M 	Hoptrup	Hoptrups sn	Haderslevs hd, Sønderjylland	Haderslev	Hoptrups kyrka				200306			M ca 1175-1200			sten	granit	dopfunt			DK nr.: SJy 53, http://runer.ku.dk/VisGenstand.aspx?Titel=Hoptrup-font	
DR 17  	Starup	Starup sn	Haderslevs hd, Sønderjylland	Haderslev	söder om kyrkan	(55.248181897322 ; 9.53267135692406)			200308-39, Sønder Starup sn [Lokalitet/118148]			V Helnæs-Gørlev	RAK		sten	granit	runsten			DK nr.: SJy 54, http://runer.ku.dk/VisGenstand.aspx?Titel=Starup-sten	
DR 18 U 	Strårup	Dalby sn	Tyrstrup hd, Sønderjylland	Kolding	Nationalmuseet (8563)	(55.4757589697331 ; 9.52473938150322)			170701-9 [Lokalitet/57110]			U 160-375/400 (Imer 2007)			metall	guld	halsring			KJ 42; DK nr.: Sjy 7, http://runer.ku.dk/VisGenstand.aspx?Titel=Str%c3%a5rup-halsring; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=39&ort=Strårup&objekt=halsring>	
DR 19 M 	Darum	Darum sn	Gørding hd, Nørrejylland	Esbjerg	Nationalmuseet (D7874)				190202			M			sten	granit	vigvattenkar	Nonsensinskrift.		DK nr.: SJy 30, http://runer.ku.dk/VisGenstand.aspx?Titel=Darum-vievandskar	
DR 20 M 	Gørding	Gørding sn	Gørding hd, Nørrejylland	Esbjerg	Nationalmuseet (D2572)				190203			M 1200-t			metall	silver	ring	Nonsensinskrift.		DK nr.: SJy 31, http://runer.ku.dk/VisGenstand.aspx?Titel=G%c3%b8rding-fingerring	
DR 21 M 	Åstrup 1	Åstrup sn	Gørding hd, Nørrejylland	Vejen	Åstrups kyrka				190208			M 1150-1200			sten	granit	kvadersten	Futharkinskrift.		DK nr.: SJy 32, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85strup-kvadersten_1	
DR 22 $M 	Åstrup 2	Åstrup sn	Gørding hd, Nørrejylland	Vejen	koret i Åstrups kyrka				190208			M 1150-1200			sten	granit	kvadersten			$=Moltke 1985:421; DK nr.: SJy 33, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85strup-kvadersten_2	
DR 23 M 	Åstrup 3	Åstrup sn	Gørding hd, Nørrejylland	Vejen	I korväggen i Åstrups kyrka.				190208			M 1150-1200			sten	granit	kvadersten	Bild av riddare, hör samman med DR 22.		DK nr.: SJy 34, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85strup-kvadersten_3	
DR 24 M 	Holsted	Holsted sn	Malt hd, Nørrejylland	Vejen	I Holsteds nya kyrka.				190304			M			sten	granit	profilerad byggnadssten			DK nr.: SJy 36, http://runer.ku.dk/VisGenstand.aspx?Titel=Holsted-kvadersten	
DR 25 M 	Føvling	Føvling sn	Malt hd, Nørrejylland	Vejen	I vapenhuset i Føvlings kyrka.				190303			M			sten	granit	gravhäll		L 1839	DK nr.: SJy 35, http://runer.ku.dk/VisGenstand.aspx?Titel=F%c3%b8vling-gravsten	
DR 26  	Læborg	Læborg sn	Malt hd, Nørrejylland	Vejen	Læborgs kyrkogård	(55.5229520189867 ; 9.11474704979342)			190306-28 [Lokalitet/74632]			V för-Jelling	RAK	Tuve, Ravns ättling	sten	granit	runsten		L 1540	DK nr.: SJy 37, http://runer.ku.dk/VisGenstand.aspx?Titel=L%c3%a6borg-sten	
DR 27 M 	Vamdrup 1	Vamdrup sn	Anst hd, Nørrejylland	Kolding	Ett fragment på Koldinghus, ett annat Kongeåmuseet i Vamdrup.	(55.4266356644747 ; 9.27307604476129)			190109			M			sten	granit	fragment av gravhäll		L 1936	DK nr.: SJy 28, http://runer.ku.dk/VisGenstand.aspx?Titel=Vamdrup-gravsten_1	
DR 28 †M 	Vamdrup 2	Vamdrup sn	Anst hd, Nørrejylland	Kolding		(55.4266356644747 ; 9.27307604476129)			190109			M			sten		gravhäll		L 1840	DK nr.: SJy 29, http://runer.ku.dk/VisGenstand.aspx?Titel=Vamdrup-gravsten_2	
DR 29  	Bække 1	Bække sn	Anst hd, Nørrejylland	Vejen	Mellan kyrkan och vägen.	(55.5691043709007 ; 9.13700175954512)			190102-151 [Lokalitet/117063]			V för-Jelling	RAK	Tuve, Ravns ättling?	sten	granit	runsten		L 1541	DK nr.: SJy 26, http://runer.ku.dk/VisGenstand.aspx?Titel=B%c3%a6kke-sten_1	
DR 30 $ 	Bække 2	Bække sn	Anst hd, Nørrejylland	Vejen		(55.5818112265406 ; 9.14499448171951)			190102-55 [Lokalitet/117059]			V Jelling	RAK		sten	granit	runsten	Eventuellt norskt inflytande.		$=Moltke 1985:386; §R: $=DK nr.: SJy 27, http://runer.ku.dk/VisGenstand.aspx?Titel=B%c3%a6kke-sten_2	
DR 31 M 	Brøndum	Brøndum sn	Hindborg hd, Nørrejylland	Skive		(55.543771970543 ; 8.47774655601881)			190502			M ca 1200			sten	granit	dopfunt			DK nr.: SJy 44, http://runer.ku.dk/VisGenstand.aspx?Titel=Bryndum-font	
DR 32 M 	Brøndum, prästgården	Brøndum sn	Hindborg hd, Nørrejylland	Skive	Nationalmuseet (D 3989)	(55.543771970543 ; 8.47774655601881)			190502			M			sten	granit	runsten			DK nr.: SJy 45, http://runer.ku.dk/VisGenstand.aspx?Titel=Bryndum-sten	
DR 33 M 	Ål	Ål sn	Vester Horne hd, Nørrejylland	Varde		(55.6318621490826 ; 8.28298784652942)			190714			M			sten	granit	kvadersten			DK nr.: SJy 49, http://runer.ku.dk/VisGenstand.aspx?Titel=%c3%85l-kvadersten	
DR 34  	Horne	Horne sn	Øster Horne hd, Nørrejylland	Varde	På kyrkogården.	(55.7239816704633 ; 8.53014226682793)			190803-198 [Lokalitet/117510]			V för-Jelling	RAK?	Tuve, Ravns ättling?	sten	granit	runsten		L 1536	DK nr.: SJy 51, http://runer.ku.dk/VisGenstand.aspx?Titel=Horne-sten	
DR 35 M 	Eltang	Eltang sn	Brusk hd, Nørrejylland	Kolding	Nationalmuseet (D 52/1950)	(55.5378275973439 ; 9.53626074715579)			170202-7 [Lokalitet/55540]			M			sten	granit	runsten			DK nr.: SJy 1, http://runer.ku.dk/VisGenstand.aspx?Titel=Eltang-sten	
DR 36 $ 	Sønder Vilstrup	Sønder Vilstrup sn	Brusk hd, Nørrejylland	Kolding	Nu vid Landerupgård.	(55.569704477012 ; 9.55935620203385)			170208-15 [Lokalitet/116527]			V Jelling	RAK		sten	granit	fragment av runsten		L 1542	$=Moltke 1958:183 (Jon Skonvig og de andre runetegnere. Bibl. Arnam. Suppl. vol. 1-2; DK nr.: SJy 3, http://runer.ku.dk/VisGenstand.aspx?Titel=S%c3%b8nder_Vilstrup-sten	
DR 37  	Egtved	Egtved sn	Jerlev hd, Nørrejylland	Vejle					170601			V Jelling	RAK		sten	granit	runsten			DK nr.: SJy 6, http://runer.ku.dk/VisGenstand.aspx?Titel=Egtved-sten	
DR 38 M 	Pjedsted	Pjedsted sn	Holmans hd, Nørrejylland	Fredericia	Nationalmuseet (5139)				170504			M			trä	ek	kista, endast locket bevarat			DK nr.: SJy 4, http://runer.ku.dk/VisGenstand.aspx?Titel=Pjedsted-kiste	
DR 39 M 	Pjedsted	Pjedsted sn	Holmans hd, Nørrejylland	Fredericia	Nationalmuseet (D. 1425)				170504			M			sten	granit	runsten			DK nr.: SJy 5, http://runer.ku.dk/VisGenstand.aspx?Titel=Pjedsted-sten	
DR 40  	Randbøl	Randbøl sn	Tørrild hd, Nørrejylland	Vejle		(55.6560317674359 ; 9.21434459709161)	ja		170908-145 [Lokalitet/60322]			V Jelling	RAK		sten	granit	runsten			DK nr.: SJy 14, http://runer.ku.dk/VisGenstand.aspx?Titel=Randb%c3%b8l-sten	
DR 41  	Jelling 1	Jelling sn	Tørrild hd, Nørrejylland	Vejle		(55.7565577351861 ; 9.4195920341267)			170904-106 [Lokalitet/116756]			V Jelling	RAK		sten	granit	runsten		L 1537	DK nr.: SJy 10, http://runer.ku.dk/VisGenstand.aspx?Titel=Jelling-sten_1	
DR 42  	Jelling 2	Jelling sn	Tørrild hd, Nørrejylland	Vejle		(55.7565665570536 ; 9.41963993100627)	ja		170904-143 [Lokalitet/188448]			V Jelling	Fp, Pr1?		sten	granit	runsten		L 1538	DK nr.: SJy 11, http://runer.ku.dk/VisGenstand.aspx?Titel=Jelling-sten_2	
